Pre,Rec,f1_score
0.009345794392523364,0.0026371308016877636,0.00411353352529823
0.009345794392523364,0.0026371308016877636,0.00411353352529823
0.6461397058823529,0.28635437881873727,0.3968388371436635
0.8798932384341637,0.3488536155202822,0.4996211164435464
0.8188874514877102,0.29732268670737433,0.4362508614748449
0.4876977152899824,0.2075542258788332,0.2911857292759706
0.6591606960081884,0.2731128074639525,0.3862068965517242
0.9948612538540597,0.41545064377682406,0.5861338177414472
0.002403846153846154,0.0006464124111182935,0.0010188487009679063
0.29572338489535943,0.13771186440677965,0.18791558253830587
0.6352201257861635,0.18573004781169547,0.2874217416050085
0.6056338028169014,0.284990253411306,0.38759278897136795
0.3737024221453287,0.08352668213457076,0.13653603034134007
0.993103448275862,0.34022445363260484,0.5068191816981962
0.7134071340713407,0.2747513027001421,0.39671682626538984
0.990450204638472,0.2876386687797147,0.44580902671169786
0.9990884229717412,0.34782608695652173,0.5160075329566856
0.0,0.0,0.0
0.0,0.0,0.0
0.3555070883315158,0.1387824606215411,0.1996325780771586
