Acc,Pre,Rec,f1_score
0.60675,0.0,0.0,0.0
0.769625,0.13726670680313066,0.3573667711598746,0.19834710743801653
0.711,0.0,0.0,0.0
0.654875,0.0,0.0,0.0
0.711625,0.19856801909307875,0.3984674329501916,0.2650525645109908
0.703875,0.12672701286326826,0.3316708229426434,0.183385039641503
0.668875,0.0,0.0,0.0
0.6575,0.004429133858267717,0.012396694214876032,0.006526468455402466
0.700375,0.0,0.0,0.0
0.76875,0.3043478260869565,0.5374771480804388,0.3886318572372769
0.74075,0.15761396702230845,0.4909365558912387,0.23861967694566819
0.69025,0.11644832605531295,0.26755852842809363,0.16227180527383364
0.7175,0.23221544715447154,0.37893864013267,0.28796471329552614
0.71375,0.0036023054755043226,0.005482456140350878,0.004347826086956522
0.628875,0.0,0.0,0.0
0.74725,0.00831255195344971,0.011918951132300357,0.009794319294809012
0.716125,0.04814609850581074,0.13636363636363635,0.07116564417177913
0.680875,0.2493380406001765,0.3987297106563162,0.30681509638881344
0.684625,0.000517063081695967,0.001692047377326565,0.0007920792079207921
0.7165,0.1262135922330097,0.306832298136646,0.1788559015206372
