Pre,Rec,f1_score
0.5956644674835061,0.6666666666666666,0.6291687406669983
0.679837067209776,0.679837067209776,0.679837067209776
0.706831119544592,0.7883597883597884,0.7453726863431716
0.5981682884945622,0.49084077031470175,0.5392156862745098
0.7405764966740577,0.6245325355272999,0.6776222357476163
0.5546082013804303,0.5793044953350297,0.5666874092511928
0.45251937984496127,0.4296228150873965,0.440773949976404
0.6126498553121125,0.6360515021459228,0.624131396083386
0.290859667006456,0.5533290239172592,0.38129175946547883
0.6627190904784462,0.5927966101694915,0.6258107805859986
0.6908115358819584,0.7576314821625597,0.7226802315383266
0.818221638195357,0.7282651072124756,0.7706270627062706
0.6461538461538462,0.6009280742459396,0.6227208976157083
0.3792517006802721,0.3951565268753692,0.3870407868093723
0.5870712401055409,0.6324017053529133,0.6088939566704674
0.45892351274787535,0.38510301109350237,0.41878500646273153
0.9620733249051833,0.7245318946366233,0.8265749456915278
0.8500694123091161,0.7565897858319605,0.8006101547178034
0.559342665855143,0.46157709693621296,0.5057787561915246
0.6398271798900236,0.6934865900383141,0.6655771195097038
