Acc,Pre,Rec
0.9951672862453531,1.0,0.9706325301204819
0.9843866171003718,1.0,0.8862815884476535
0.9812887236679059,1.0,0.7322695035460993
0.9907063197026023,1.0,0.9358426005132592
0.9752168525402726,1.0,0.7870074547390842
0.9758364312267658,1.0,0.7525380710659898
0.9664188351920694,0.0,0.0
0.9902106567534077,1.0,0.8893557422969187
0.9462205700123916,0.0,0.0
0.9804213135068154,1.0,0.7929226736566186
0.9807930607187113,1.0,0.7013487475915221
0.9287484510532837,0.0,0.0
0.979182156133829,1.0,0.8522427440633246
0.9530359355638166,1.0,0.5798226164079823
0.9315985130111524,0.0,0.0
0.9667905824039653,1.0,0.627260083449235
0.9884758364312267,1.0,0.9193408499566349
0.9324659231722429,0.0,0.0
0.9833952912019827,1.0,0.8634046890927625
0.9789343246592317,1.0,0.76775956284153
0.937546468401487,0.0,0.0
0.9229244114002478,0.0,0.0
0.954275092936803,1.0,0.5238709677419355
0.9654275092936803,1.0,0.5173010380622838
0.9919454770755886,1.0,0.9315789473684211
0.9985130111524163,1.0,0.992089650626236
0.9851301115241635,1.0,0.8801198801198801
0.9551425030978934,1.0,0.6136606189967982
0.9770755885997522,1.0,0.7044728434504792
0.9795539033457249,1.0,0.7689075630252101
