Acc,Pre,Rec
0.9582403965303593,1.0,0.7325396825396825
0.9742255266418836,1.0,0.8901795142555439
0.9628252788104089,1.0,0.755700325732899
0.9779429987608427,1.0,0.9072433559145389
0.9488228004956629,1.0,0.7319922128487995
0.9675340768277572,1.0,0.8342820999367488
0.9840148698884759,1.0,0.932140978432404
0.9712515489467163,1.0,0.8778947368421053
0.9646840148698885,1.0,0.8751095530236634
0.9589838909541512,1.0,0.7620416966211359
0.9449814126394052,1.0,0.6989830508474576
0.9070631970260223,1.0,0.5738636363636364
0.9914498141263941,1.0,0.9701169337375487
0.963816604708798,1.0,0.7137254901960784
0.9372986369268897,1.0,0.6500691562932227
0.9644361833952912,1.0,0.8149580915538363
0.9464684014869889,1.0,0.6732223903177005
0.9531598513011152,1.0,0.6560509554140127
0.963816604708798,1.0,0.7772692601067888
0.952912019826518,1.0,0.7521200260926288
0.9536555142503098,1.0,0.7883418222976797
0.9775712515489468,1.0,0.8947674418604651
0.9175960346964065,1.0,0.5310296191819464
0.9762081784386617,1.0,0.876844130853111
0.9671623296158612,1.0,0.8383160463697377
0.9703841387856258,1.0,0.8951754385964912
0.9698884758364312,1.0,0.8592935726693689
0.9758364312267658,1.0,0.892502756339581
0.9664188351920694,1.0,0.8784208165096455
0.9722428748451053,1.0,0.8534031413612565
