Acc,Pre,Rec
0.9223048327137546,1.0,0.8189953810623557
0.9446096654275093,1.0,0.8759367194004996
0.926270136307311,1.0,0.7944732297063903
0.9380421313506815,1.0,0.8290598290598291
0.9330855018587361,1.0,0.7899649941656943
0.9112763320941759,1.0,0.7673058173545662
0.9376703841387857,1.0,0.820035778175313
0.9516728624535316,1.0,0.8653314917127072
0.9408921933085502,1.0,0.8555858310626703
0.9390334572490706,1.0,0.8683788121990369
0.923543990086741,1.0,0.799480012999675
0.9299876084262702,1.0,0.8256710891700093
0.9377942998760843,1.0,0.8562839965645577
0.915365551425031,1.0,0.7788928455810942
0.9439900867410161,1.0,0.8983812949640287
0.9480793060718711,1.0,0.8844137931034483
0.9351920693928129,1.0,0.8487127567254845
0.9372986369268897,1.0,0.8575851393188855
0.9339529120198266,1.0,0.8537321624588364
0.9384138785625774,1.0,0.8466995681677977
0.928996282527881,1.0,0.8277727682596934
0.9318463444857497,1.0,0.8199083169613621
0.9541511771995044,1.0,0.9154672149874343
0.9423791821561338,1.0,0.8753685339051193
0.9195786864931846,1.0,0.7705091937765205
0.9376703841387857,1.0,0.8413249211356467
0.9277571251548947,1.0,0.7702915681639085
0.9448574969021065,1.0,0.9045474045474046
0.915365551425031,1.0,0.7981678486997635
0.9286245353159851,1.0,0.8269230769230769
