Acc,Pre,Rec
0.9520446096654275,1.0,0.8195804195804196
0.9210656753407683,1.0,0.7093978102189781
0.9184634448574969,1.0,0.6844124700239809
0.9682775712515489,1.0,0.9138627187079408
0.9588599752168525,1.0,0.8094144661308841
0.9598513011152416,1.0,0.8584534731323722
0.929368029739777,1.0,0.7294731846226863
0.9303593556381661,1.0,0.611878453038674
0.9382899628252788,1.0,0.8483556638246041
0.9470879801734821,1.0,0.8287204171680705
0.9192069392812887,1.0,0.7279933249895703
0.9332094175960347,1.0,0.7869565217391304
0.9320941759603469,1.0,0.7556843513152028
0.9482032218091697,1.0,0.7535377358490566
0.9506815365551425,1.0,0.7747594793435201
0.9454770755885997,1.0,0.8586118251928021
0.948451053283767,1.0,0.8390715667311412
0.9090458488228005,1.0,0.6745011086474502
0.9574969021065676,1.0,0.8439490445859873
0.9387856257744733,1.0,0.7679661813057773
0.957001239157373,1.0,0.8259779338014042
0.9516728624535316,1.0,0.8278145695364238
0.9236679058240397,1.0,0.7435470441298918
0.9299876084262702,1.0,0.788627010849233
0.948451053283767,1.0,0.800383877159309
0.9189591078066914,1.0,0.7463149728471683
0.9386617100371747,1.0,0.7483477376715811
0.9437422552664189,1.0,0.7726589884827241
0.9483271375464684,1.0,0.8102820746132848
0.9682775712515489,1.0,0.8982107355864811
