Acc,Pre,Rec,f1_score
0.7980671757788741 0.6879546295154728 0.9243001490806692 0.7888040712468194
0.8433466243157397 0.7824974715925992 0.9306587419514611 0.8501712882166634
0.8049604649591133 0.7044883963015125 0.9240221668942253 0.799457994579945







0.7937757653578428,0.688944144581236,0.9210312956056429,0.7882593761926239
0.6703385821450294,0.6021947292602322,0.9748285322359397,0.7444869310146143
0.707001419206596,0.6222362296353763,0.9358273171443157,0.7474735707837028
0.7716091099547205,0.682913736647163,0.937232945336673,0.790112722417166
0.8377711698317226,0.7873330747492658,0.936527814394938,0.8554742767693188
