Pre,Rec,f1_score
0.542831105710814,0.9425105485232067,0.6888974556669236
0.6730103806228374,0.9507128309572301,0.7881141313523552
0.6154020899591095,0.9555555555555556,0.7486527566671273
0.6144465290806754,0.9229685298262095,0.7377510794067955
0.6952175087814104,0.962228870605834,0.8072156862745097
0.5759708105290592,0.9372349448685326,0.7134786117836966
0.6047619047619047,0.9346826126954921,0.7343693530899891
0.6015625,0.9253218884120171,0.7291173486641866
0.45363164721141375,0.9043309631544926,0.6041891600086374
0.7403100775193798,0.9711864406779661,0.8401759530791789
0.6624525916561315,0.9635895549834498,0.7851363500149835
0.6684694429421308,0.9637426900584796,0.7893980520517324
0.7218218506774287,0.9682907965970611,0.827085053674649
0.4467140319715808,0.8913171884229178,0.5951488858213371
0.5343324250681198,0.9289436286120322,0.6784293374848642
0.6363636363636364,0.9263074484944532,0.7544369151339142
0.7835763622409824,0.9720723579815932,0.8677053824362606
0.717391304347826,0.96499176276771,0.8229715489989463
0.5518265518265518,0.9331993972877951,0.6935423665546847
0.5924132364810331,0.9374201787994891,0.7260138476755688
