Acc,Pre,Rec,f1_score
0.850375,0.5311843027330063,0.5894245723172629,0.5587910062661261
0.783625,0.008984725965858042,0.01567398119122257,0.011422044545973729
0.8005,0.0026954177897574125,0.006134969325153374,0.0037453183520599247
0.8315,0.22551662174303683,0.3405698778833107,0.2713513513513514
0.80725,0.3526627218934911,0.5708812260536399,0.4359912216532553
0.763625,0.006346328195829556,0.008728179551122194,0.007349081364829395
0.788375,0.004480286738351254,0.008517887563884156,0.005871990604815031
0.83075,0.29923273657289,0.6446280991735537,0.4087336244541484
0.804625,0.0035938903863432167,0.008733624454148471,0.005092297899427117
0.843375,0.44150110375275936,0.5484460694698354,0.4891969017529555
0.860375,0.29559748427672955,0.49697885196374625,0.3707042253521126
0.81375,0.3145716072545341,0.5607580824972129,0.40304487179487175
0.8825,0.6065705128205128,0.6276948590381426,0.6169519152404238
0.7475,0.0035842293906810036,0.0043859649122807015,0.0039447731755424065
0.875375,0.4985044865403789,0.5030181086519114,0.500751126690035
0.80625,0.18059299191374664,0.2395709177592372,0.20594262295081966
0.7825,0.007155635062611807,0.012539184952978056,0.009111617312072893
0.821875,0.49737876802096986,0.5356386732533521,0.5158002038735983
0.791125,0.016129032258064516,0.030456852791878174,0.0210896309314587
0.76025,0.0,0.0,0.0
