Acc,Pre,Rec,f1_score
0.961090458488228,0.8241687979539642,0.9706325301204819,0.8914246196403873
0.9724907063197026,0.8434108527131783,0.9819494584837545,0.9074228523769807
0.9553903345724907,0.6352785145888594,0.849290780141844,0.7268588770864947
0.9566294919454771,0.7991234477720964,0.9358426005132592,0.8620961386918833
0.9615861214374225,0.7667514843087362,0.9627263045793397,0.8536355051935789
0.9499380421313507,0.7055674518201285,0.8362944162436549,0.7653890824622532
0.9146220570012391,0.0,0.0,0.0
0.9608426270136308,0.709915611814346,0.9425770308123249,0.8098676293622142
0.9546468401486989,0.5550161812297735,0.7903225806451613,0.6520912547528518
0.9700123915737299,0.7816216216216216,0.9475753604193972,0.8566350710900474
0.9717472118959107,0.8329519450800915,0.7013487475915221,0.7615062761506276
0.9491945477075588,0.6153846153846154,0.7652173913043478,0.682170542635659
0.9572490706319703,0.7950819672131147,0.9384344766930519,0.8608309802339652
0.9543990086741017,0.746309963099631,0.8968957871396895,0.8147029204431018
0.9757125154894671,1.0,0.644927536231884,0.7841409691629956
0.9350681536555142,0.5945683802133851,0.8525730180806675,0.7005714285714286
0.9494423791821561,0.7515192437542201,0.9653078924544666,0.8451025056947608
0.9410161090458489,0.555735056542811,0.6311926605504588,0.5910652920962199
0.9568773234200744,0.7675401521555367,0.9255861365953109,0.8391866913123844
0.9329615861214374,0.5929892891918208,0.8319672131147541,0.6924388857305287
0.9034696406443619,0.0,0.0,0.0
0.9355638166047088,0.5782208588957055,0.6061093247588425,0.5918367346938775
0.981908302354399,0.9058064516129032,0.9058064516129032,0.9058064516129032
0.9421313506815365,0.583963691376702,0.6678200692041523,0.6230831315577078
0.9387856257744733,0.6735159817351598,0.9315789473684211,0.7818021201413428
0.9985130111524163,1.0,0.992089650626236,0.9960291197882197
0.9851301115241635,1.0,0.8801198801198801,0.9362380446333687
0.9784386617100371,0.9196919691969196,0.8922091782283885,0.905742145178765
0.959727385377943,0.6768507638072856,0.9201277955271565,0.7799593771157751
0.952912019826518,0.6889140271493213,0.8529411764705882,0.7622027534418022
