Pre,Rec,f1_score
1.0,0.6102320675105485,0.7579430068784802
1.0,0.5474541751527495,0.7075546196367465
1.0,0.581657848324515,0.7355040142729705
1.0,0.5425082198215124,0.7034104750304507
1.0,0.4955123410620793,0.6626656664166042
1.0,0.5487701441899915,0.7086527929901424
1.0,0.49494020239190434,0.6621538461538462
1.0,0.5948497854077254,0.7459634015069968
1.0,0.6289592760180995,0.7722222222222223
1.0,0.5491525423728814,0.7089715536105032
1.0,0.5656491357116586,0.7225745830396992
1.0,0.5781676413255361,0.732707509881423
1.0,0.5672853828306265,0.7239082161361955
1.0,0.5410513880685174,0.7021847451130702
1.0,0.5769777356702984,0.7317512766596576
1.0,0.4694928684627575,0.6389862496629819
1.0,0.4995239606474135,0.6662433862433862
1.0,0.6050247116968699,0.7539132666153452
1.0,0.5293822199899548,0.6922824302134648
1.0,0.5402298850574713,0.7014925373134328
