pre,pre_cha,rec,rec_cha,f1,f1_cha
1.0,0.0,0.5533,0.042,0.7116,0.035
0.9871,0.0407,0.7971,0.0374,0.8813,0.0311
0.8409,0.0895,0.8832,0.0278,0.8598,0.0547
0.7388,0.1009,0.9293,0.0252,0.8207,0.0698
0.6538,0.0903,0.9513,0.0216,0.7724,0.0708
0.5824,0.0834,0.962,0.0169,0.7228,0.0699
