pre,pre_cha,rec,rec_cha,f1,f1_cha
1.0,0.0,0.5533,0.042,0.7116,0.035
0.9647,0.0726,0.7958,0.0375,0.8709,0.0431
0.8085,0.0947,0.8745,0.0321,0.8383,0.0616
0.7131,0.1027,0.9241,0.0281,0.8023,0.074
0.6216,0.0897,0.9428,0.0227,0.7466,0.0728
0.5503,0.0797,0.9538,0.0184,0.6953,0.0694
