pre,pre_cha,rec,rec_cha,f1,f1_cha
0.7064,0.3854,0.16,0.1425,0.25,0.2094
0.756,0.2782,0.3816,0.1582,0.4971,0.1949
0.6288,0.1922,0.4979,0.1539,0.5519,0.1635
0.6243,0.1578,0.6089,0.1233,0.612,0.1335
0.5413,0.1391,0.6564,0.1139,0.5869,0.1209
0.4714,0.1307,0.7189,0.1053,0.5654,0.1224
