Acc,Pre,Rec,f1_score
0
1
2
3
0.9569169426235048 0.9730879416616026 0.9207327090520782 0.946186637403452
0.9526255322024735 0.9725882040852418 0.9096848895872963 0.9400854700854699
0.9448874771913226 1.0 0.8502020573108009 0.9190369818813602
0.9674596201932825 1.0 0.9281021352844557 0.9627105517909004
