Acc,Pre,Rec,f1_score
0.9832736365479489,1.0,0.8324873096446701,0.9085872576177285
0.9662769480300061,0.8069738480697385,0.6532258064516129,0.7220055710306407
0.9461715212543083,1.0,0.2850089766606822,0.44359063918966113
0.9861120497398121,1.0,0.67890625,0.8087482550023267
0.977563019530986,0.8420784513499745,0.8236173393124065,0.8327455919395467
0.9641819287693452,0.7080979284369114,0.5006657789613849,0.5865834633385336
0.9627627221734135,0.7431648715824358,0.5310834813499112,0.6194751381215471
0.9711765898492938,0.8263305322128851,0.7309217046580773,0.7757033920589008
0.9746232344394133,0.8920988513748694,0.8531957390146472,0.8722137144801769
0.9728323308778807,0.8657427457773929,0.801845166466105,0.8325697625989172
0.9691153612218693,0.8305084745762712,0.7154969382948657,0.7687246963562753
0.9751976752044333,0.9117312072892938,0.8830667402095973,0.8971700756514429
0.9621882814083936,0.8346666666666667,0.6592249368155013,0.7366439162155803
0.993850104750963,1.0,0.9611774744027304,0.9802044811833804
0.9820909643846726,0.938037177693384,0.9552208426623244,0.9465510286405808
0.9810096641211057,0.9445239799570508,0.9544303797468354,0.9494513401690952
0.9783739947286613,0.9335049335049335,0.9295173002990175,0.9315068493150686
0.949483003311482,0.7933333333333333,0.5010526315789474,0.6141935483870968
0.983712914780023,0.957983193277311,0.976243093922652,0.9670269530715557
0.9722578901128607,0.8923237235151095,0.8340909090909091,0.8622252055714047
0.9598905183483138,0.7545526524148852,0.5207650273224044,0.616230197219528
0.9645198351017098,0.8249576510446076,0.663789186733303,0.7356495468277946
0.9801648982901939,0.9239263803680982,0.9314695695200396,0.9276826413699643
0.9711765898492938,0.9158751696065129,0.8614088820826953,0.8878074444298303
0.9662431573967696,0.8878437047756874,0.780782691695832,0.830878618588116
0.96786510779212,0.8678038379530917,0.7604633781763827,0.8105954989046006
0.9676285733594647,0.8736756316218419,0.7679083094555874,0.8173846740373618
0.9617490031763195,0.7807637906647807,0.573208722741433,0.6610778443113772
0.9594850307494762,0.7695167286245354,0.5379417879417879,0.6332211685530743
0.9753328377373792,0.8797517455391777,0.84375,0.8613748575769085
