Pre,Rec,f1_score
0.7098690427973539,0.9528814787966654,0.8136170212765957
0.36138532411977625,0.8515216127156425,0.5074213110020214
0.5700700268003804,0.9240470852017937,0.7051275196492541
0.5997671130333527,0.9265064885005782,0.7281631828738766
0.5238956979517974,0.9160074787861355,0.6665620094191523
0.4751621643813121,0.8952660891089109,0.6208228289438396
0.5686847929181157,0.9277885235332044,0.705150193561033
0.9138939976592543,0.9595365575353287,0.9361592806679511
0.5048318156476491,0.8998012586949321,0.6467857142857143
0.7559172826177227,0.9506998119908084,0.8421929215822345
0.6343087933111315,0.9429113124078365,0.758419112974965
0.5683694128640399,0.9295720835455935,0.7054218614091041
0.7849278663629461,0.9471996334898637,0.8584626563554263
0.5045660458761775,0.9173748202379396,0.651048431991093
0.7546775810223856,0.9446884148891677,0.839060178306092
0.6663398692810457,0.9381182424660686,0.7792108531575427
0.41509271237602413,0.8717623618909618,0.5623977564851601
0.7115919629057187,0.9485937982898939,0.8131761381198392
0.5790606809664302,0.9236835410836938,0.7118560995931971
0.5134480454393585,0.9,0.6538666099351133
0.7154063382491371,0.9479264109759901,0.8154141892798068
0.9704790019998095,0.9545710003746721,0.962459271851537
0.7660335810624828,0.9430701457133175,0.8453827460510328
0.631367759944173,0.9287822404722187,0.7517266448564158
0.5326907630522089,0.9207274746633347,0.6749096830000508
0.7976804123711341,0.9445944359666627,0.8649433009082603
0.6586524755297919,0.9272240802675585,0.7701966885209468
0.812874251497006,0.9576719576719577,0.8793522267206478
0.3656408629441624,0.8591129332836377,0.5129631690219205
0.8177111716621254,0.9474847400547253,0.8778276131045242
