pre,pre_cha,rec,rec_cha,f1,f1_cha
0.8457,0.1411,0.443,0.0792,0.5746,0.0794
0.7757,0.0982,0.6213,0.0741,0.6858,0.0659
0.6611,0.1081,0.7317,0.0718,0.6904,0.0803
0.5968,0.1,0.806,0.0614,0.6818,0.0789
0.5325,0.099,0.8799,0.0289,0.6588,0.0849
0.4736,0.105,0.9005,0.0421,0.6143,0.097
