pre,pre_cha,rec,rec_cha,f1,f1_cha
0.9951,0.0186,0.7472,0.0505,0.8527,0.0359
0.9303,0.0896,0.896,0.0279,0.9115,0.0571
0.6395,0.1531,0.9266,0.0282,0.7487,0.1166
0.4794,0.1014,0.9319,0.0284,0.6283,0.0965
0.4082,0.0945,0.937,0.0279,0.5637,0.0977
0.3741,0.088,0.9421,0.0281,0.5309,0.0954
