Acc,Pre,Rec,f1_score
0.689875,0.4930600042707666,0.9557119205298014,0.6505141569235103
0.624625,0.43502487562189057,0.9302127659574468,0.592813559322034
0.802,0.6786949006050129,0.9700432365657814,0.7986270022883295
0.733875,0.6071565986918045,0.973172987974098,0.7477786992062552
0.802875,0.677765843179377,0.9761757425742574,0.800050716368708
0.6715,0.5329464619992512,0.9553691275167785,0.6842105263157895
0.73425,0.6373169408786837,0.9670781893004116,0.768308631211857
0.761375,0.6147350643867426,0.9719626168224299,0.7531359110306477
0.7515,0.6364160738319554,0.9715292045788083,0.7690520446096655
0.7395,0.5749301225542894,0.9615246314275441,0.7195909580193758
0.749,0.6132264529058116,0.9751434034416826,0.7529527559055118
0.72925,0.585016155088853,0.9630984042553191,0.7278894472361809
0.7315,0.619692193584276,0.9717941261994766,0.7567934782608695
0.782125,0.6675350701402806,0.975402635431918,0.7926234384295062
0.706,0.5413920922570017,0.9546114742193174,0.6909329829172142
0.773875,0.6537289168868117,0.9683925346177001,0.7805410651461846
0.7635,0.6265356265356266,0.9782608695652174,0.763854218671992
0.66175,0.5131255901794145,0.9550087873462214,0.6675675675675675
0.683,0.5296838858905166,0.9662447257383966,0.6842629482071714
0.672,0.4628334062090074,0.9268826619964974,0.6173811606882473
